,author_id,Author
471,1000472,"মেজর জেনারেল (অব.) এস এস উবান                                                                               ,                                                                                                                                          হোসাইন রিদওয়ান আলী খান"
472,1000473,সমরেশ বসু
473,1000474,শক্তিপদ রাজগুরু
474,1000475,কমলকুমার মজুমদার
475,1000476,মোল্লা বাহাউদ্দিন
476,1000477,অমিয়ভূষণ মজুমদার
477,1000478,আবুল হোসাইন জাহাঙ্গীর
478,1000479,"ল্যু স্যুন                                                                               ,                                                                                                                                          হোসাইন রিদওয়ান আলী খান"
479,1000480,অপূর্ব সাহা
480,1000481,মুকুল শিকদার
481,1000482,আবু করিম
482,1000483,আহসান হামিদ
483,1000484,কামরুল হাসান
484,1000485,"কাজী ইমদাদ                                                                               ,                                                                                                                                          কামরুনাহার শিমুল"
485,1000486,জসীম মাহমুদ
486,1000487,সৈয়দ নাজনীন আখতার
487,1000488,আযাদ কালাম
488,1000489,খালেদা পারভীন শিখা
489,1000490,আশিকুল্যাহ শাহ্
490,1000491,মনোয়ার রফিকুল আলম
491,1000492,সুফিয়া কামাল
492,1000493,শামসুদ্দিন চৌধুরী
493,1000494,সুনীতি কুমার ঘোষ
494,1000495,সাহেদ আহমেদ
495,1000496,আনু মুহাম্মদ
496,1000497,"ফিদেল ক্যাস্ত্রো                                                                               ,                                                                                                                                          ফারুক চৌধুরী"
497,1000498,"আলবার্ট আইনস্টাইন                                                                               ,                                                                                                                                          পল সুইজি                                                                               ,                                                                                                                                          ফারুক চৌধুরী"
498,1000499,"পল সুইজি                                                                               ,                                                                                                                                          ফারুক চৌধুরী"
499,1000500,ফারুক চৌধুরী
500,1000501,"রেন দুঁমো                                                                               ,                                                                                                                                          ফারুক চৌধুরী"
501,1000502,"ফ্রেড ম্যাগডফ                                                                               ,                                                                                                                                          ফারুক চৌধুরী"
502,1000503,"মাইকেল প্যারান্টি                                                                               ,                                                                                                                                          ওমর তারেক চৌধুরী"
503,1000504,"এডগার স্নো                                                                               ,                                                                                                                                          ওমর তারেক চৌধুরী"
504,1000505,"মাও সেতুং                                                                               ,                                                                                                                                          সুমন চৌধুরী                                                                               ,                                                                                                                                          মুনীরুজ্জামান"
505,1000506,"গিয়ান্নি মিনা                                                                               ,                                                                                                                                          জাহানারা নূরী"
506,1000507,রবীন আহসান
507,1000508,সোহরাব হাসান
508,1000509,সাইফুল হক
509,1000510,মোঃ আকমল হোসেন
510,1000511,মাহবুব- উল- করিম
511,1000512,তাহমিনা হক
512,1000513,মঈনুদ্দীন আহমেদ
513,1000514,জোবায়েদা নাসরীন
514,1000515,দীপঙ্কর গৌতম
515,1000516,আহমদ মযহার
516,1000517,সৈয়দ আনোয়ার হোসেন
517,1000518,মোঃ জিয়াউল হক শেখ
518,1000519,মারুফ রায়হান
519,1000520,আবু সাঈদ খান
520,1000521,এম. গোলাম রহমান
521,1000522,"গীতি আরা নাসরীন                                                                               ,                                                                                                                                          সিতারা পারভীন"
522,1000523,রোবায়েত ফেরদৌসী
523,1000524,ড. মুসতাক আহমেদ
524,1000525,ডা. মিনি মাথুর
525,1000526,ডা. তাওহীদ হাসান
526,1000527,আজিজুর রহমান
527,1000528,শওকত আলী
528,1000529,মঞ্জু সরকার
529,1000530,শাহীন আখতার
530,1000531,আফসান চৌধুরী
531,1000532,মোহাম্মদ শামছুজ্জামান
532,1000533,লোকমান হোসেন
533,1000534,জায়েদ হোসাইন লাকী
534,1000535,সেলিম আল দীন
535,1000536,মান্নান হীরা
536,1000537,অমল সাহা
537,1000538,প্রশান্ত মৃধা
538,1000539,প্রিয়াঙ্কা পূজা
539,1000540,"হুমায়ূন আহমেদ                                                                               ,                                                                                                                                          সালেহ চৌধুরী"
540,1000541,ড. হোসনে আরা বেগম
541,1000542,মোঃ আজিজুল বারী
542,1000543,আনোয়ার হাসান
543,1000544,আলাউদ্দীন আহমদ
544,1000545,অধ্যাপক আসহাবউদ্দীন আহমদ
545,1000546,মীর আবুল হোসেন
546,1000547,আরিফ আহমেদ
547,1000548,শারমিন জাহান
548,1000549,মকবুলা মনজুর
549,1000550,মারুফ আহমেদ
550,1000551,ড. গোলাম কাদির
551,1000552,সামসুল আরেফিন
552,1000553,আবদুল বাকী
553,1000554,জোহরা পারুল
554,1000555,শাওন আসগর
555,1000556,অঞ্জন সাহা
556,1000557,জুবায়ের মাহমুদ
557,1000558,দেওয়ান সামসুর রকিব
558,1000559,মির্জা ফারহানা সিরাজ
559,1000560,শাহাব উদ্দিন আহম্মেদ
560,1000561,শাহজাহান সিরাজ সাজু
561,1000562,জিনাত রহমান
562,1000563,মোয়াজ্জেম হোসেন আলমগীর
563,1000564,হাবিবুর রহমান জুয়েল
564,1000565,এনায়েত সোবহান
565,1000566,জাহিদুল হক
566,1000567,আতাউলি করিম
567,1000568,মামুন হুসাইন
568,1000569,গাজী আলমগীর
569,1000570,নীলিমা আফরিন
570,1000571,জামিলা খাতুন
571,1000572,জগদীশ দেবনাথ
572,1000573,মাহবুবে রাব্বানী
573,1000574,মেজর কামরুল হাসান ভূঁইয়া
574,1000575,কামাল আহমেদ
575,1000576,দীপু সারোয়ার
576,1000577,সদর উদ্দিন আহমদ চিশতী
577,1000578,"কর্ণেল ডক্টর হাফেজ ফায়জুর রহমান                                                                               ,                                                                                                                                          অধ্যক্ষ মাওলানা রওশন আলী"
578,1000579,মোঃ সৈকত আকন
579,1000580,মোঃ ফারুক আকন
580,1000581,মুহাম্মদ ফরিদ উদ্দিন খান
581,1000582,মাওলানা মুহাম্মাদ হাসান রহমতী
582,1000583,"আমিরুল মোমেনিন আলী ইবনে আবি তালিব                                                                               ,                                                                                                                                          জেহাদুল ইসলাম"
583,1000584,হজরত খাজা মুঈনুদ্দিন চিশতী (রঃ)
584,1000585,সাব্বির হাসান নাসির
585,1000586,বজলুর রহমান
586,1000587,আবুল হাশিম
587,1000588,ড. এন. এম. ইলিয়াস
588,1000589,ড. এস.এম ইলিয়াস
589,1000590,ফকির চিশতী নিজামী
590,1000591,প্রণয় পলিকার্প রোজারিও
591,1000592,ডক্টর মুহম্মদ এনামুল হক
592,1000593,কাজী শাহরিয়ার
593,1000594,হাসান রাজা
594,1000595,এম.এ. হক
595,1000596,আবদুল্লাহ আল আমিন
596,1000597,আব্দুল করীম মুশতাক
597,1000598,বরদাচরণ মজুমদার
598,1000599,মহাত্মা গান্ধী
599,1000600,সুভাষ সিংহ
600,1000601,খলিলুর রহমান
601,1000602,হাসানাত বেগ
602,1000603,রায় রামানন্দ
603,1000604,হাকীম তাহের আলী চিশতী
604,1000605,মুহাম্মদ রকুন উদ্দীন ক্বাদরী
605,1000606,মাখদুম সৈয়দ মুহম্মদ জাফর
606,1000607,গোফরান আল মোশী
607,1000608,খন্দকার রফিউদ্দিন
608,1000609,এম নূরুল ইসলাম
609,1000610,ইমাম আহমেদ
610,1000611,নির্মল সেন
